StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q11,Q12,Q12_4_TEXT,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q15,Q15_8_TEXT,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q17,Q18
2021-11-09 18:29:42,2021-11-09 18:32:41,IP Address,23.251.71.98,100,178,True,2021-11-09 18:32:41,R_3NxqoW4d6VdxnpS,,,,,35.2527008056640625,-85.16300201416015625,anonymous,EN,25-30,Female,Associate degree or equivalent,$50k - $100k,Employed part-time,Blue collar,No,No,No,5 - Familiar,2 - Slightly familiar,2 - Slightly familiar,"Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro)",Virtual Reality,,1 - Not effective at all,1 - Not effective at all,Effective,Effective,Moderately effective,Effective,Slightly effective,Slightly effective,1 - Not effective at all,Slightly effective,1 - Not effective at all,Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Extremely frequent,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,,,Prefer slightly,Prefer slightly,Do not prefer,Prefer a lot,Prefer slightly,Prefer slightly,No,
2021-11-09 18:31:05,2021-11-09 18:32:43,IP Address,98.221.152.219,100,98,True,2021-11-09 18:32:43,R_12rwCqpevkuF7mo,,,,,40.485595703125,-74.62650299072265625,anonymous,EN,25-30,Female,Graduate degree or higher,$50k - $100k,Employed full-time,White collar,No,No,No,2 - Slightly familiar,2 - Slightly familiar,1- Not familiar at all,Pokemon Go,Virtual Reality,,Very Effective,Moderately effective,7 - Most Effective,Effective,Effective,Moderately effective,Very Effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Very Effective,Extremely frequent,7 - Most frequent,Extremely frequent,7 - Most frequent,Frequent,Frequent,Frequent,"LinkedIn,Google Search",,Prefer a lot,Prefer slightly,Prefer slightly,Prefer slightly,Prefer slightly,Prefer a great deal,Yes,610434dbaa187bfdbe2e8ac9
2021-11-09 18:36:49,2021-11-09 18:40:21,IP Address,172.58.45.150,100,212,True,2021-11-09 18:40:22,R_1Ebx6JLV6Wp1yNl,,,,,47.894805908203125,-122.203094482421875,anonymous,EN,25-30,Male,Associate degree or equivalent,$50k - $100k,Employed full-time,Blue collar,No,No,Yes,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,"Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro)",,,Moderately effective,Effective,Very Effective,Slightly effective,Slightly effective,1 - Not effective at all,Moderately effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Moderately frequent,Slightly frequent,1 - Not frequent at all,Slightly frequent,"LinkedIn,Facebook / Instagram,Google Search",,Prefer slightly,Prefer slightly,Do not prefer,Prefer a lot,Prefer a moderate amount,Prefer a moderate amount,Yes,6110ed9465b014af3571b0b2
2021-11-09 18:38:27,2021-11-09 18:42:07,IP Address,66.56.194.2,100,219,True,2021-11-09 18:42:07,R_3g0kh3rI0H8JZqd,,,,,34.32080078125,-78.71450042724609375,anonymous,EN,24 and Under,Male,Bachelor’s degree or equivalent,$50k - $100k,Unemployed,Both,No,No,No,1- Not familiar at all,1- Not familiar at all,1- Not familiar at all,,Virtual Reality,,Very Effective,Moderately effective,Effective,Effective,1 - Not effective at all,Effective,Moderately effective,Slightly effective,Slightly effective,Slightly effective,Moderately effective,Effective,Slightly frequent,Slightly frequent,Slightly frequent,7 - Most frequent,7 - Most frequent,Moderately frequent,1 - Not frequent at all,"Google Search,YouTube",,Prefer a moderate amount,Prefer a great deal,Prefer slightly,Prefer slightly,Do not prefer,Prefer slightly,Yes,611bf8ccb92e5adccf8db407
2021-11-09 18:40:59,2021-11-09 18:42:59,IP Address,72.196.201.85,100,119,True,2021-11-09 18:42:59,R_2TRcA2obN5LaEBz,,,,,38.9257965087890625,-77.39389801025390625,anonymous,EN,25-30,Female,Bachelor’s degree or equivalent,$101k - 150k,Employed full-time,White collar,No,No,Yes,5 - Familiar,5 - Familiar,3 - Somewhat familiar,Pokemon Go,"Virtual Reality,Augmented Reality",,Extremely effective,Slightly effective,7 - Most Effective,Moderately effective,7 - Most Effective,7 - Most Effective,7 - Most Effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Extremely effective,Very frequent,1 - Not frequent at all,1 - Not frequent at all,Very frequent,Slightly frequent,Very frequent,7 - Most frequent,"LinkedIn,Google Search",,Prefer slightly,Prefer slightly,Prefer a great deal,Prefer a great deal,Prefer a moderate amount,Prefer slightly,Yes,611b0231d35b7b1502726acf
2021-11-09 18:44:38,2021-11-09 18:47:01,IP Address,75.164.74.220,100,142,True,2021-11-09 18:47:01,R_8zY8dLSisJC0Btn,,,,,45.5894012451171875,-122.7400970458984375,anonymous,EN,31-40,Male,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,White collar,Yes,No,No,4 - Moderately familiar,4 - Moderately familiar,4 - Moderately familiar,"Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go)",Mixed Reality,,Moderately effective,1 - Not effective at all,Moderately effective,Slightly effective,Moderately effective,Effective,Very Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,Very frequent,Slightly frequent,1 - Not frequent at all,Slightly frequent,Google Search,,Prefer a moderate amount,Prefer a lot,Prefer slightly,Prefer a moderate amount,Do not prefer,Prefer slightly,Yes,6110a6b219dbeea702baf043
2021-11-09 18:42:06,2021-11-09 18:47:10,IP Address,50.90.66.255,100,304,True,2021-11-09 18:47:11,R_27PcNMQBZxDbJcl,,,,,39.7931976318359375,-86.21320343017578125,anonymous,EN,25-30,Female,High school graduate or equivalent (GED),Below 50k,Employed full-time,White collar,No,Yes,No,4 - Moderately familiar,3 - Somewhat familiar,1- Not familiar at all,Pokemon Go,,,Slightly effective,1 - Not effective at all,Extremely effective,Effective,Slightly effective,Moderately effective,Moderately effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,Moderately effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Frequent,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Google Search,,Prefer a lot,Prefer slightly,Do not prefer,Prefer slightly,Prefer slightly,Prefer a great deal,No,
2021-11-09 18:40:57,2021-11-09 18:47:57,IP Address,98.53.4.153,100,419,True,2021-11-09 18:47:57,R_2YM0W05rgxBnSK1,,,,,26.6165008544921875,-80.044403076171875,anonymous,EN,31-40,Female,Associate degree or equivalent,Below 50k,Employed full-time,Both,No,No,Yes,4 - Moderately familiar,2 - Slightly familiar,1- Not familiar at all,,,,Moderately effective,Extremely effective,7 - Most Effective,Effective,Slightly effective,Slightly effective,Effective,Extremely effective,Effective,Extremely effective,Extremely effective,Very Effective,1 - Not frequent at all,Slightly frequent,1 - Not frequent at all,7 - Most frequent,Slightly frequent,Slightly frequent,Moderately frequent,"Facebook / Instagram,Google Search",,Prefer a moderate amount,Prefer a great deal,Prefer a moderate amount,Prefer slightly,Do not prefer,Prefer a moderate amount,Yes,61746f2171b18665351c1a49
2021-11-09 18:44:57,2021-11-09 18:48:11,IP Address,24.231.247.56,100,193,True,2021-11-09 18:48:11,R_1gTQ3JlmblDbA77,,,,,44.2635040283203125,-86.18250274658203125,anonymous,EN,31-40,Male,High school graduate or equivalent (GED),$50k - $100k,Employed full-time,Blue collar,Yes,No,No,5 - Familiar,5 - Familiar,4 - Moderately familiar,,,,Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,,,Prefer slightly,Prefer slightly,Do not prefer,Prefer a lot,Do not prefer,Prefer slightly,Yes,6176a5f31c3e3668b07681b5
2021-11-09 18:46:18,2021-11-09 18:48:34,IP Address,184.61.242.151,100,136,True,2021-11-09 18:48:34,R_eEfsRGBwKoC522R,,,,,34.2404022216796875,-85.60500335693359375,anonymous,EN,25-30,Female,High school graduate or equivalent (GED),$50k - $100k,Employed full-time,Blue collar,Yes,No,Yes,5 - Familiar,5 - Familiar,5 - Familiar,,,,Very Effective,Very Effective,Very Effective,Very Effective,Moderately effective,Moderately effective,Very Effective,Moderately effective,Moderately effective,Moderately effective,Moderately effective,Very Effective,Very frequent,Moderately frequent,Moderately frequent,Very frequent,Very frequent,Moderately frequent,Moderately frequent,"LinkedIn,Facebook / Instagram,Google Search,YouTube",,Prefer a lot,Prefer a lot,Prefer slightly,Prefer a lot,Prefer slightly,Prefer slightly,No,
2021-11-09 18:53:14,2021-11-09 18:56:41,IP Address,67.246.23.60,100,206,True,2021-11-09 18:56:41,R_2D5HiUB39u6HfWN,,,,,42.450897216796875,-73.2494964599609375,anonymous,EN,25-30,Male,High school graduate or equivalent (GED),$50k - $100k,Unemployed,Blue collar,No,No,Yes,1- Not familiar at all,1- Not familiar at all,1- Not familiar at all,Pokemon Go,,,1 - Not effective at all,1 - Not effective at all,Moderately effective,Slightly effective,Slightly effective,1 - Not effective at all,Effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Very frequent,Very frequent,Slightly frequent,1 - Not frequent at all,"Google Search,YouTube",,Prefer slightly,Prefer a moderate amount,Prefer a moderate amount,Prefer a lot,Prefer a moderate amount,Prefer a lot,Yes,615dd0f3cd8c69406c416814
2021-11-09 18:54:31,2021-11-09 18:57:54,IP Address,108.231.202.137,100,202,True,2021-11-09 18:57:54,R_1N8hkNmZIvJgXa8,,,,,36.021697998046875,-79.78389739990234375,anonymous,EN,25-30,Female,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,White collar,Yes,No,No,4 - Moderately familiar,2 - Slightly familiar,2 - Slightly familiar,Pokemon Go,"Virtual Reality,Augmented Reality,Mixed Reality",,Very Effective,1 - Not effective at all,Very Effective,Very Effective,7 - Most Effective,7 - Most Effective,Moderately effective,1 - Not effective at all,1 - Not effective at all,Effective,Effective,Extremely effective,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,7 - Most frequent,Moderately frequent,Very frequent,Extremely frequent,"LinkedIn,Google Search,Blog (e.g., Medium),Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer slightly,Do not prefer,Do not prefer,Do not prefer,Prefer a great deal,Do not prefer,Yes,60fe061024db534e2ae9341f
2021-11-09 18:56:28,2021-11-09 19:01:25,IP Address,108.24.131.85,100,297,True,2021-11-09 19:01:25,R_2Qlnh9mQ404oYrb,,,,,39.89520263671875,-75.034698486328125,anonymous,EN,57-66,Male,Graduate degree or higher,$151k - $200k,Employed part-time,White collar,No,No,No,5 - Familiar,1- Not familiar at all,1- Not familiar at all,,,,Slightly effective,Slightly effective,Effective,Slightly effective,Moderately effective,Effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Frequent,Slightly frequent,1 - Not frequent at all,Slightly frequent,Google Search,,Prefer a lot,Prefer a lot,Prefer slightly,Do not prefer,Do not prefer,Prefer slightly,Yes,6162544d565dc234e7d671c9
2021-11-09 19:11:55,2021-11-09 19:14:24,IP Address,70.172.159.71,100,148,True,2021-11-09 19:14:24,R_eez1vzwIrXkUDAZ,,,,,41.795806884765625,-72.52410125732421875,anonymous,EN,31-40,Male,Bachelor’s degree or equivalent,$101k - 150k,Employed full-time,White collar,Yes,No,No,5 - Familiar,2 - Slightly familiar,1- Not familiar at all,Smartphone VR,,,Extremely effective,Slightly effective,Effective,Moderately effective,Moderately effective,Effective,Moderately effective,Slightly effective,1 - Not effective at all,Slightly effective,Slightly effective,Effective,Moderately frequent,Slightly frequent,1 - Not frequent at all,Frequent,Moderately frequent,Frequent,Moderately frequent,"LinkedIn,Google Search,YouTube",,Prefer a lot,Prefer a moderate amount,Prefer a moderate amount,Prefer a lot,Prefer slightly,Prefer a moderate amount,No,
2021-11-09 19:13:05,2021-11-09 19:15:13,IP Address,172.58.171.190,100,127,True,2021-11-09 19:15:13,R_1mwTeeTLY4HZOjS,,,,,28.493194580078125,-81.28780364990234375,anonymous,EN,24 and Under,Female,High school graduate or equivalent (GED),Below 50k,Employed full-time,Blue collar,Yes,No,No,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,,,,Moderately effective,Slightly effective,Effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,Moderately effective,1 - Not effective at all,Slightly effective,Moderately effective,Moderately effective,Effective,1 - Not frequent at all,Moderately frequent,Frequent,Very frequent,Slightly frequent,Moderately frequent,1 - Not frequent at all,"Facebook / Instagram,Twitter",,Prefer a moderate amount,Prefer a lot,Prefer a lot,Do not prefer,Prefer slightly,Prefer a moderate amount,Yes,5d140b5c1039690017945b7b
2021-11-09 19:15:11,2021-11-09 19:17:06,IP Address,72.199.223.153,100,115,True,2021-11-09 19:17:06,R_1kFvmIZ7IMOy9S4,,,,,33.1616973876953125,-117.2429046630859375,anonymous,EN,31-40,Male,Bachelor’s degree or equivalent,$151k - $200k,Employed full-time,White collar,Yes,No,No,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,Pokemon Go,Augmented Reality,,7 - Most Effective,1 - Not effective at all,Extremely effective,1 - Not effective at all,7 - Most Effective,7 - Most Effective,7 - Most Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Extremely effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,7 - Most frequent,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,LinkedIn,,Prefer a great deal,Prefer a lot,Do not prefer,Do not prefer,Do not prefer,Prefer a lot,Yes,5aad26a554f40d0001d1c575
2021-11-09 19:21:47,2021-11-09 19:24:13,IP Address,69.174.156.46,100,146,True,2021-11-09 19:24:13,R_ALmgFzfchCSaB9v,,,,,40.44439697265625,-86.92559814453125,anonymous,EN,24 and Under,Female,High school graduate or equivalent (GED),Below 50k,Employed part-time,Neither,No,No,No,3 - Somewhat familiar,1- Not familiar at all,1- Not familiar at all,Smartphone VR,,,Moderately effective,Effective,Effective,Effective,Slightly effective,Moderately effective,Effective,Slightly effective,1 - Not effective at all,Slightly effective,Effective,Effective,1 - Not frequent at all,Slightly frequent,1 - Not frequent at all,Very frequent,Very frequent,Slightly frequent,Slightly frequent,Google Search,,Prefer a moderate amount,Prefer a lot,Prefer slightly,Prefer slightly,Prefer slightly,Prefer slightly,Yes,60fef0a1f3125fe0369ae990
2021-11-09 19:24:19,2021-11-09 19:30:01,IP Address,73.240.45.104,100,341,True,2021-11-09 19:30:01,R_2VIwMjZLmKSKzXF,,,,,45.539703369140625,-122.96379852294921875,anonymous,EN,31-40,Male,Bachelor’s degree or equivalent,$101k - 150k,Employed full-time,White collar,No,No,Yes,7 - Extremely familiar,5 - Familiar,3 - Somewhat familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go",,,7 - Most Effective,Moderately effective,Effective,Slightly effective,1 - Not effective at all,Effective,Very Effective,Very Effective,Effective,Extremely effective,Very Effective,Moderately effective,Frequent,1 - Not frequent at all,1 - Not frequent at all,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,Slightly frequent,LinkedIn,,Prefer a great deal,Prefer a lot,Prefer a moderate amount,Prefer slightly,Prefer a moderate amount,Prefer a moderate amount,Yes,5c38f7ac7ba066000164fd1e
2021-11-09 19:34:08,2021-11-09 19:36:49,IP Address,136.35.162.230,100,160,True,2021-11-09 19:36:50,R_24oM2gwzL9BYWTq,,,,,39.199493408203125,-94.52649688720703125,anonymous,EN,24 and Under,Male,High school graduate or equivalent (GED),Below 50k,Employed full-time,Blue collar,No,No,No,2 - Slightly familiar,2 - Slightly familiar,2 - Slightly familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Smartphone VR",Augmented Reality,,Slightly effective,Slightly effective,Extremely effective,Extremely effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Very Effective,Very Effective,Very Effective,Very Effective,1 - Not frequent at all,1 - Not frequent at all,Slightly frequent,7 - Most frequent,7 - Most frequent,1 - Not frequent at all,7 - Most frequent,Google Search,,Prefer a great deal,Prefer a great deal,Prefer a great deal,Prefer a great deal,Prefer a great deal,Prefer a great deal,No,
2021-11-09 19:35:50,2021-11-09 19:38:09,IP Address,24.197.255.80,100,138,True,2021-11-09 19:38:09,R_DjKeoiulO4PmmJP,,,,,43.801300048828125,-91.21340179443359375,anonymous,EN,24 and Under,Female,High school graduate or equivalent (GED),Below 50k,Employed part-time,Blue collar,No,No,No,1- Not familiar at all,1- Not familiar at all,1- Not familiar at all,Pokemon Go,,,7 - Most Effective,Moderately effective,Moderately effective,Slightly effective,1 - Not effective at all,7 - Most Effective,7 - Most Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,Slightly effective,Very frequent,Very frequent,Extremely frequent,Extremely frequent,Extremely frequent,Moderately frequent,1 - Not frequent at all,"LinkedIn,Google Search",,Prefer a great deal,Prefer a great deal,Prefer a moderate amount,Prefer a lot,Prefer a moderate amount,Prefer slightly,Yes,610d3e4fbe084ee65820d15b
2021-11-09 19:34:57,2021-11-09 19:38:42,IP Address,148.170.223.61,100,224,True,2021-11-09 19:38:42,R_3NUQq5bna8wrk4X,,,,,36.302398681640625,-91.5269012451171875,anonymous,EN,31-40,Male,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,Blue collar,No,No,Yes,5 - Familiar,5 - Familiar,5 - Familiar,Smartphone VR,Mixed Reality,,Effective,Effective,Extremely effective,Effective,Effective,Moderately effective,Very Effective,Slightly effective,Slightly effective,Slightly effective,Extremely effective,Extremely effective,Slightly frequent,7 - Most frequent,Slightly frequent,7 - Most frequent,Extremely frequent,Slightly frequent,Slightly frequent,"Facebook / Instagram,Google Search,YouTube",,Prefer a moderate amount,Prefer a moderate amount,Prefer slightly,Prefer slightly,Prefer slightly,Prefer a moderate amount,Yes,6174a64c9e552cb791b540f7
2021-11-09 19:35:43,2021-11-09 19:39:16,IP Address,24.155.157.113,100,212,True,2021-11-09 19:39:16,R_3CUW6Cxg5OWv48Y,,,,,31.068206787109375,-97.391998291015625,anonymous,EN,24 and Under,Male,High school graduate or equivalent (GED),$50k - $100k,Employed full-time,Blue collar,Yes,No,No,3 - Somewhat familiar,1- Not familiar at all,1- Not familiar at all,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles)",,,Slightly effective,1 - Not effective at all,Moderately effective,Moderately effective,1 - Not effective at all,1 - Not effective at all,Moderately effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Moderately effective,1 - Not frequent at all,Frequent,1 - Not frequent at all,Very frequent,Frequent,1 - Not frequent at all,1 - Not frequent at all,"Facebook / Instagram,Google Search,YouTube",,Prefer a moderate amount,Prefer a lot,Do not prefer,Prefer a lot,Prefer a lot,Do not prefer,Yes,6144ab51772141e13207c861
2021-11-09 19:40:33,2021-11-09 19:43:19,IP Address,70.173.240.244,100,166,True,2021-11-09 19:43:19,R_3nl89ikuMO7Esls,,,,,36.2819061279296875,-115.14749908447265625,anonymous,EN,41-56,Male,Bachelor’s degree or equivalent,$101k - 150k,Employed full-time,White collar,No,No,Yes,4 - Moderately familiar,5 - Familiar,5 - Familiar,Smartphone VR,Mixed Reality,,Moderately effective,Slightly effective,Extremely effective,Slightly effective,7 - Most Effective,Effective,Effective,Moderately effective,Moderately effective,Moderately effective,Moderately effective,Very Effective,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,Extremely frequent,1 - Not frequent at all,Frequent,Extremely frequent,"Google Search,Blog (e.g., Medium),Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a great deal,Prefer a lot,Prefer a moderate amount,Prefer a lot,Prefer a moderate amount,Prefer a moderate amount,Yes,61705c2c21c0346e097bed56
2021-11-09 19:41:49,2021-11-09 19:44:56,IP Address,72.87.79.199,100,187,True,2021-11-09 19:44:57,R_1LqzX3RBXgnuM9u,,,,,41.854705810546875,-71.473602294921875,anonymous,EN,25-30,Male,Associate degree or equivalent,Below 50k,Employed full-time,White collar,No,No,No,4 - Moderately familiar,3 - Somewhat familiar,3 - Somewhat familiar,"Tethered VR (e.g., Oculus Rift, HTC VIVE Pro)","Augmented Reality,Mixed Reality",,Effective,Moderately effective,Extremely effective,Extremely effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,1 - Not frequent at all,Moderately frequent,1 - Not frequent at all,Very frequent,Frequent,1 - Not frequent at all,Slightly frequent,Google Search,,Prefer a lot,Prefer a lot,Prefer a moderate amount,Prefer a moderate amount,Prefer slightly,Do not prefer,No,
2021-11-09 19:43:34,2021-11-09 19:47:04,IP Address,47.41.241.67,100,210,True,2021-11-09 19:47:04,R_28BRlmeATLstkWQ,,,,,34.10589599609375,-117.58589935302734375,anonymous,EN,57-66,Male,Bachelor’s degree or equivalent,$151k - $200k,Employed full-time,White collar,Yes,No,No,4 - Moderately familiar,2 - Slightly familiar,1- Not familiar at all,,Virtual Reality,,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Very Effective,Very Effective,Extremely effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Moderately frequent,1 - Not frequent at all,1 - Not frequent at all,YouTube,,Prefer slightly,Prefer a lot,Prefer a moderate amount,Do not prefer,Prefer a moderate amount,Prefer slightly,Yes,6123fc5fe45f1905d9e7fe29
2021-11-09 19:49:17,2021-11-09 19:51:35,IP Address,24.252.61.117,100,137,True,2021-11-09 19:51:35,R_2xKrNRwGq3bgz4g,,,,,41.234100341796875,-96.16899871826171875,anonymous,EN,24 and Under,Female,Bachelor’s degree or equivalent,Below 50k,Employed part-time,White collar,No,No,Yes,5 - Familiar,5 - Familiar,5 - Familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro)",Mixed Reality,,Slightly effective,Slightly effective,Extremely effective,Extremely effective,Extremely effective,Extremely effective,Extremely effective,Moderately effective,Moderately effective,Slightly effective,Slightly effective,Extremely effective,Slightly frequent,Slightly frequent,Slightly frequent,Extremely frequent,Extremely frequent,Frequent,Very frequent,"Google Search,YouTube,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a lot,Prefer a lot,Prefer a moderate amount,Prefer a lot,Prefer a lot,Prefer a lot,Yes,6100b32d69f5a32679a49449
2021-11-09 19:49:47,2021-11-09 19:51:49,IP Address,98.198.221.70,100,122,True,2021-11-09 19:51:50,R_6sPjz3nNf280aZ3,,,,,29.5182952880859375,-95.0977020263671875,anonymous,EN,25-30,Male,Bachelor’s degree or equivalent,$101k - 150k,Employed full-time,Both,No,No,Yes,5 - Familiar,4 - Moderately familiar,2 - Slightly familiar,"Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Smartphone VR","Virtual Reality,Augmented Reality",,Very Effective,Moderately effective,Extremely effective,Extremely effective,Effective,Very Effective,Extremely effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,Slightly effective,Very Effective,Slightly frequent,Moderately frequent,Frequent,7 - Most frequent,Extremely frequent,Very frequent,Frequent,"LinkedIn,Google Search,YouTube",,Prefer a moderate amount,Prefer slightly,Prefer slightly,Prefer a moderate amount,Do not prefer,Prefer slightly,Yes,57aa18af5fc14c0001b3d917
2021-11-09 19:50:34,2021-11-09 19:53:45,IP Address,166.182.84.219,100,190,True,2021-11-09 19:53:45,R_8lkOQAl3oI1JylH,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,24 and Under,Female,Bachelor’s degree or equivalent,$50k - $100k,Employed part-time,Blue collar,Yes,No,No,5 - Familiar,3 - Somewhat familiar,1- Not familiar at all,"Pokemon Go,Smartphone VR",,,Moderately effective,Slightly effective,Slightly effective,1 - Not effective at all,Effective,Effective,Slightly effective,Effective,Slightly effective,Very Effective,Moderately effective,Slightly effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,Moderately frequent,"Google Search,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a moderate amount,Prefer a lot,Prefer slightly,Prefer slightly,Do not prefer,Prefer a lot,Yes,6107c3c34aec7850786b6d62
2021-11-09 19:50:25,2021-11-09 19:54:19,IP Address,50.50.106.56,100,234,True,2021-11-09 19:54:20,R_2s5pADTjIdhlgAw,,,,,43.1898956298828125,-89.21849822998046875,anonymous,EN,41-56,Male,High school graduate or equivalent (GED),Below 50k,Employed full-time,Blue collar,No,No,Yes,5 - Familiar,5 - Familiar,3 - Somewhat familiar,"Pokemon Go,Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go),Smartphone VR",Augmented Reality,,Moderately effective,Slightly effective,Very Effective,Very Effective,Very Effective,Very Effective,Effective,Slightly effective,1 - Not effective at all,Slightly effective,Slightly effective,Very Effective,Slightly frequent,1 - Not frequent at all,Slightly frequent,7 - Most frequent,Extremely frequent,Slightly frequent,1 - Not frequent at all,"LinkedIn,Twitter,Google Search,YouTube",,Prefer a moderate amount,Prefer a moderate amount,Do not prefer,Prefer slightly,Prefer slightly,Prefer a moderate amount,Yes,601251b1e6bbae2889cf29e9
2021-11-09 19:53:18,2021-11-09 19:56:25,IP Address,174.53.155.177,100,187,True,2021-11-09 19:56:26,R_1P00Cjh2KJzHDkI,,,,,44.9427032470703125,-93.28710174560546875,anonymous,EN,25-30,Female,High school graduate or equivalent (GED),Below 50k,Employed full-time,White collar,No,No,No,5 - Familiar,2 - Slightly familiar,2 - Slightly familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro)",Virtual Reality,,Very Effective,Slightly effective,Effective,1 - Not effective at all,Moderately effective,Extremely effective,Extremely effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Extremely effective,Very frequent,Slightly frequent,1 - Not frequent at all,7 - Most frequent,Very frequent,Very frequent,Very frequent,"LinkedIn,Facebook / Instagram,Google Search,Blog (e.g., Medium),Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a lot,Prefer a great deal,Prefer slightly,Prefer slightly,Do not prefer,Prefer a lot,Yes,611319d711690a0a7059c63b
