Progress,Duration (in seconds),Finished,Age_Range,Gender,Degree,Income,Employment,Job_Type,Industry_Manufacturing,Industry_Automobile,Industry_Construction,Technology_VR,Technology_AR,Technology_MR,Used,Use_Cases,Use_Cases_Other,Effective_Channel_LinkedIn,Effective_Channel_FB_IG,Effective_Channel_Google,Effective_Channel_YouTube,Effective_Channel_Trade_Show,Effective_Channel_Webinar,Effective_Channel_Phone_Email,Effective_Channel_Billboard,Effective_Channel_Magazine,Effective_Channel_Television,Effective_Channel_Radio,Effective_Channel_Website,Frequent_Channel_LinkedIn,Frequent_Channel__FB_IG,Frequent_Channel_Twitter,Frequent_Channel_Google,Frequent_Channel_YouTube,Frequent_Channel_Blogs,Frequent_Channel_Press,Previous_Channel,Previous_Channel_Other,Acquisition_Channel_Website,Acquisition_Channel_Online,Acquisition_Channel_Cloud_Marketplace,Acquisition_Channel_Distributor,Acquisition_Channel_SI_Consultant,Acquisition_Channel_Retail
100,341,True,31-40,Male,Bachelor’s degree or equivalent,$101k - 150k,Employed full-time,White collar,No,No,Yes,7 - Extremely familiar,5 - Familiar,3 - Somewhat familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go",,,7 - Most Effective,Moderately effective,Effective,Slightly effective,1 - Not effective at all,Effective,Very Effective,Very Effective,Effective,Extremely effective,Very Effective,Moderately effective,Frequent,1 - Not frequent at all,1 - Not frequent at all,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,Slightly frequent,LinkedIn,,Prefer a great deal,Prefer a lot,Prefer a moderate amount,Prefer slightly,Prefer a moderate amount,Prefer a moderate amount
100,160,True,< 24,Male,High school graduate or equivalent (GED),< $50k,Employed full-time,Blue collar,No,No,No,2 - Slightly familiar,2 - Slightly familiar,2 - Slightly familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Smartphone VR",Augmented Reality,,Slightly effective,Slightly effective,Extremely effective,Extremely effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Very Effective,Very Effective,Very Effective,Very Effective,1 - Not frequent at all,1 - Not frequent at all,Slightly frequent,7 - Most frequent,7 - Most frequent,1 - Not frequent at all,7 - Most frequent,Google Search,,Prefer a great deal,Prefer a great deal,Prefer a great deal,Prefer a great deal,Prefer a great deal,Prefer a great deal
100,138,True,< 24,Female,High school graduate or equivalent (GED),< $50k,Employed part-time,Blue collar,No,No,No,1- Not familiar at all,1- Not familiar at all,1- Not familiar at all,Pokemon Go,,,7 - Most Effective,Moderately effective,Moderately effective,Slightly effective,1 - Not effective at all,7 - Most Effective,7 - Most Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,Slightly effective,Very frequent,Very frequent,Extremely frequent,Extremely frequent,Extremely frequent,Moderately frequent,1 - Not frequent at all,"LinkedIn,Google Search",,Prefer a great deal,Prefer a great deal,Prefer a moderate amount,Prefer a lot,Prefer a moderate amount,Prefer slightly
100,224,True,31-40,Male,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,Blue collar,No,No,Yes,5 - Familiar,5 - Familiar,5 - Familiar,Smartphone VR,Mixed Reality,,Effective,Effective,Extremely effective,Effective,Effective,Moderately effective,Very Effective,Slightly effective,Slightly effective,Slightly effective,Extremely effective,Extremely effective,Slightly frequent,7 - Most frequent,Slightly frequent,7 - Most frequent,Extremely frequent,Slightly frequent,Slightly frequent,"Facebook / Instagram,Google Search,YouTube",,Prefer a moderate amount,Prefer a moderate amount,Prefer slightly,Prefer slightly,Prefer slightly,Prefer a moderate amount
100,212,True,< 24,Male,High school graduate or equivalent (GED),$50k - $100k,Employed full-time,Blue collar,Yes,No,No,3 - Somewhat familiar,1- Not familiar at all,1- Not familiar at all,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles)",,,Slightly effective,1 - Not effective at all,Moderately effective,Moderately effective,1 - Not effective at all,1 - Not effective at all,Moderately effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Moderately effective,1 - Not frequent at all,Frequent,1 - Not frequent at all,Very frequent,Frequent,1 - Not frequent at all,1 - Not frequent at all,"Facebook / Instagram,Google Search,YouTube",,Prefer a moderate amount,Prefer a lot,Do not prefer,Prefer a lot,Prefer a lot,Do not prefer
100,166,True,41-56,Male,Bachelor’s degree or equivalent,$101k - 150k,Employed full-time,White collar,No,No,Yes,4 - Moderately familiar,5 - Familiar,5 - Familiar,Smartphone VR,Mixed Reality,,Moderately effective,Slightly effective,Extremely effective,Slightly effective,7 - Most Effective,Effective,Effective,Moderately effective,Moderately effective,Moderately effective,Moderately effective,Very Effective,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,Extremely frequent,1 - Not frequent at all,Frequent,Extremely frequent,"Google Search,Blog (e.g., Medium),Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a great deal,Prefer a lot,Prefer a moderate amount,Prefer a lot,Prefer a moderate amount,Prefer a moderate amount
100,187,True,25-30,Male,Associate degree or equivalent,< $50k,Employed full-time,White collar,No,No,No,4 - Moderately familiar,3 - Somewhat familiar,3 - Somewhat familiar,"Tethered VR (e.g., Oculus Rift, HTC VIVE Pro)","Augmented Reality,Mixed Reality",,Effective,Moderately effective,Extremely effective,Extremely effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,1 - Not frequent at all,Moderately frequent,1 - Not frequent at all,Very frequent,Frequent,1 - Not frequent at all,Slightly frequent,Google Search,,Prefer a lot,Prefer a lot,Prefer a moderate amount,Prefer a moderate amount,Prefer slightly,Do not prefer
100,210,True,57-66,Male,Bachelor’s degree or equivalent,$151k - $200k,Employed full-time,White collar,Yes,No,No,4 - Moderately familiar,2 - Slightly familiar,1- Not familiar at all,,Virtual Reality,,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Very Effective,Very Effective,Extremely effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Moderately frequent,1 - Not frequent at all,1 - Not frequent at all,YouTube,,Prefer slightly,Prefer a lot,Prefer a moderate amount,Do not prefer,Prefer a moderate amount,Prefer slightly
100,137,True,< 24,Female,Bachelor’s degree or equivalent,< $50k,Employed part-time,White collar,No,No,Yes,5 - Familiar,5 - Familiar,5 - Familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro)",Mixed Reality,,Slightly effective,Slightly effective,Extremely effective,Extremely effective,Extremely effective,Extremely effective,Extremely effective,Moderately effective,Moderately effective,Slightly effective,Slightly effective,Extremely effective,Slightly frequent,Slightly frequent,Slightly frequent,Extremely frequent,Extremely frequent,Frequent,Very frequent,"Google Search,YouTube,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a lot,Prefer a lot,Prefer a moderate amount,Prefer a lot,Prefer a lot,Prefer a lot
100,122,True,25-30,Male,Bachelor’s degree or equivalent,$101k - 150k,Employed full-time,Both,No,No,Yes,5 - Familiar,4 - Moderately familiar,2 - Slightly familiar,"Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Smartphone VR","Virtual Reality,Augmented Reality",,Very Effective,Moderately effective,Extremely effective,Extremely effective,Effective,Very Effective,Extremely effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,Slightly effective,Very Effective,Slightly frequent,Moderately frequent,Frequent,7 - Most frequent,Extremely frequent,Very frequent,Frequent,"LinkedIn,Google Search,YouTube",,Prefer a moderate amount,Prefer slightly,Prefer slightly,Prefer a moderate amount,Do not prefer,Prefer slightly
100,190,True,< 24,Female,Bachelor’s degree or equivalent,$50k - $100k,Employed part-time,Blue collar,Yes,No,No,5 - Familiar,3 - Somewhat familiar,1- Not familiar at all,"Pokemon Go,Smartphone VR",,,Moderately effective,Slightly effective,Slightly effective,1 - Not effective at all,Effective,Effective,Slightly effective,Effective,Slightly effective,Very Effective,Moderately effective,Slightly effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,Moderately frequent,"Google Search,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a moderate amount,Prefer a lot,Prefer slightly,Prefer slightly,Do not prefer,Prefer a lot
100,234,True,41-56,Male,High school graduate or equivalent (GED),< $50k,Employed full-time,Blue collar,No,No,Yes,5 - Familiar,5 - Familiar,3 - Somewhat familiar,"Pokemon Go,Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go),Smartphone VR",Augmented Reality,,Moderately effective,Slightly effective,Very Effective,Very Effective,Very Effective,Very Effective,Effective,Slightly effective,1 - Not effective at all,Slightly effective,Slightly effective,Very Effective,Slightly frequent,1 - Not frequent at all,Slightly frequent,7 - Most frequent,Extremely frequent,Slightly frequent,1 - Not frequent at all,"LinkedIn,Twitter,Google Search,YouTube",,Prefer a moderate amount,Prefer a moderate amount,Do not prefer,Prefer slightly,Prefer slightly,Prefer a moderate amount
100,187,True,25-30,Female,High school graduate or equivalent (GED),< $50k,Employed full-time,White collar,No,No,No,5 - Familiar,2 - Slightly familiar,2 - Slightly familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro)",Virtual Reality,,Very Effective,Slightly effective,Effective,1 - Not effective at all,Moderately effective,Extremely effective,Extremely effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Extremely effective,Very frequent,Slightly frequent,1 - Not frequent at all,7 - Most frequent,Very frequent,Very frequent,Very frequent,"LinkedIn,Facebook / Instagram,Google Search,Blog (e.g., Medium),Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a lot,Prefer a great deal,Prefer slightly,Prefer slightly,Do not prefer,Prefer a lot
100,130,True,25-30,Female,High school graduate or equivalent (GED),< $50k,Employed full-time,Neither,Yes,No,No,7 - Extremely familiar,6 - Very familiar,6 - Very familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles)","Virtual Reality,Augmented Reality,Mixed Reality",,1 - Not effective at all,Effective,Very Effective,Extremely effective,Slightly effective,Slightly effective,Moderately effective,Slightly effective,Slightly effective,Effective,Effective,Very Effective,Frequent,Frequent,Moderately frequent,Extremely frequent,Extremely frequent,Slightly frequent,Moderately frequent,"Facebook / Instagram,Google Search,YouTube",,Prefer a moderate amount,Prefer a lot,Prefer a moderate amount,Prefer a lot,Prefer a moderate amount,Prefer a lot
100,163,True,31-40,Female,Bachelor’s degree or equivalent,$50k - $100k,Self-Employed,Neither,No,No,Yes,1- Not familiar at all,1- Not familiar at all,1- Not familiar at all,,,,Slightly effective,Extremely effective,Extremely effective,Extremely effective,Very Effective,Very Effective,7 - Most Effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not frequent at all,Extremely frequent,1 - Not frequent at all,7 - Most frequent,Extremely frequent,Extremely frequent,1 - Not frequent at all,"Facebook / Instagram,Google Search,YouTube,Blog (e.g., Medium)",,Prefer a great deal,Prefer a moderate amount,Do not prefer,Prefer a moderate amount,Do not prefer,Prefer a lot
100,169,True,57-66,Female,Bachelor’s degree or equivalent,< $50k,Self-Employed,White collar,Yes,No,No,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,,,,1 - Not effective at all,Moderately effective,7 - Most Effective,Moderately effective,Effective,Very Effective,Very Effective,1 - Not effective at all,Slightly effective,Slightly effective,1 - Not effective at all,Slightly effective,1 - Not frequent at all,Slightly frequent,Slightly frequent,7 - Most frequent,Moderately frequent,Moderately frequent,Slightly frequent,"Facebook / Instagram,Twitter,Google Search,YouTube,Blog (e.g., Medium)",,Prefer a great deal,Prefer a great deal,Do not prefer,Do not prefer,Do not prefer,Prefer slightly
100,237,True,41-56,Male,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,White collar,No,No,No,5 - Familiar,5 - Familiar,5 - Familiar,"Pokemon Go,Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go),Smartphone VR",Virtual Reality,,Slightly effective,Slightly effective,Extremely effective,Very Effective,Extremely effective,Very Effective,Slightly effective,Slightly effective,Effective,Very Effective,Moderately effective,Moderately effective,1 - Not frequent at all,Slightly frequent,1 - Not frequent at all,Extremely frequent,Very frequent,Moderately frequent,Moderately frequent,"LinkedIn,Facebook / Instagram,Twitter,Google Search,YouTube,Blog (e.g., Medium),Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a great deal,Prefer a lot,Prefer slightly,Prefer slightly,Prefer slightly,Prefer a lot
100,167,True,25-30,Female,Graduate degree or higher,$151k - $200k,Employed full-time,White collar,No,No,No,5 - Familiar,3 - Somewhat familiar,3 - Somewhat familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Smartphone VR",,,Slightly effective,1 - Not effective at all,7 - Most Effective,Very Effective,Very Effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,Slightly effective,Very Effective,Effective,Extremely effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Frequent,1 - Not frequent at all,1 - Not frequent at all,Extremely frequent,"LinkedIn,Facebook / Instagram,Google Search,Blog (e.g., Medium),Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a lot,Prefer a great deal,Prefer slightly,Do not prefer,Prefer slightly,Do not prefer
100,224,True,31-40,Male,High school graduate or equivalent (GED),$50k - $100k,Employed full-time,White collar,Yes,No,No,6 - Very familiar,1- Not familiar at all,3 - Somewhat familiar,"Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go),Smartphone VR",Mixed Reality,,Slightly effective,1 - Not effective at all,Slightly effective,Moderately effective,Moderately effective,Effective,Slightly effective,1 - Not effective at all,Moderately effective,1 - Not effective at all,1 - Not effective at all,Slightly effective,Slightly frequent,Moderately frequent,Very frequent,Extremely frequent,Extremely frequent,Frequent,Slightly frequent,"LinkedIn,Twitter,Google Search,YouTube,Blog (e.g., Medium)",,Prefer a moderate amount,Prefer a great deal,Do not prefer,Prefer slightly,Do not prefer,Prefer a lot
100,157,True,41-56,Female,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,White collar,No,No,No,5 - Familiar,3 - Somewhat familiar,3 - Somewhat familiar,,,,Extremely effective,Moderately effective,1 - Not effective at all,1 - Not effective at all,Effective,7 - Most Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Extremely effective,1 - Not frequent at all,1 - Not frequent at all,Slightly frequent,Very frequent,1 - Not frequent at all,1 - Not frequent at all,Very frequent,"Google Search,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a lot,Do not prefer,Do not prefer,Prefer a lot,Prefer a lot,Prefer a lot
100,472,True,25-30,Female,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,Neither,Yes,No,No,4 - Moderately familiar,3 - Somewhat familiar,3 - Somewhat familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go","Virtual Reality,Augmented Reality",,Extremely effective,Effective,7 - Most Effective,7 - Most Effective,7 - Most Effective,7 - Most Effective,7 - Most Effective,1 - Not effective at all,Moderately effective,Moderately effective,7 - Most Effective,Extremely effective,Moderately frequent,7 - Most frequent,7 - Most frequent,7 - Most frequent,7 - Most frequent,Very frequent,Very frequent,"LinkedIn,Twitter,Google Search,YouTube,Blog (e.g., Medium),Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a lot,Prefer a great deal,Prefer a moderate amount,Prefer a lot,Prefer slightly,Prefer a moderate amount
100,225,True,31-40,Male,Bachelor’s degree or equivalent,< $50k,Employed full-time,Blue collar,Yes,No,No,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,Smartphone VR,,,Slightly effective,1 - Not effective at all,Effective,Slightly effective,Moderately effective,Slightly effective,Effective,Slightly effective,Slightly effective,Slightly effective,Slightly effective,Slightly effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Frequent,Moderately frequent,1 - Not frequent at all,Slightly frequent,Google Search,,Prefer a moderate amount,Prefer slightly,Do not prefer,Prefer a moderate amount,Do not prefer,Prefer a moderate amount
100,137,True,41-56,Female,Bachelor’s degree or equivalent,< $50k,Self-Employed,Blue collar,No,No,No,3 - Somewhat familiar,3 - Somewhat familiar,1- Not familiar at all,,,,1 - Not effective at all,1 - Not effective at all,Slightly effective,Moderately effective,Slightly effective,Slightly effective,Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Moderately frequent,Moderately frequent,1 - Not frequent at all,YouTube,,Prefer slightly,Prefer a moderate amount,Do not prefer,Prefer a moderate amount,Do not prefer,Prefer a lot
100,180,True,25-30,Male,High school graduate or equivalent (GED),$151k - $200k,Employed full-time,Blue collar,No,No,Yes,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,"Pokemon Go,Smartphone VR",,,1 - Not effective at all,1 - Not effective at all,Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Very Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Extremely effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Extremely frequent,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Google Search,,Prefer a lot,Prefer a moderate amount,Do not prefer,Prefer a lot,Do not prefer,Prefer a moderate amount
100,168,True,25-30,Female,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,White collar,No,No,Yes,4 - Moderately familiar,4 - Moderately familiar,2 - Slightly familiar,Smartphone VR,Virtual Reality,,Moderately effective,Effective,Extremely effective,Extremely effective,Effective,Effective,Slightly effective,Slightly effective,Slightly effective,Moderately effective,Effective,Effective,1 - Not frequent at all,Slightly frequent,Frequent,7 - Most frequent,Extremely frequent,Slightly frequent,Slightly frequent,"Google Search,YouTube",,Prefer a great deal,Prefer a moderate amount,Do not prefer,Prefer a moderate amount,Do not prefer,Prefer a lot
100,197,True,41-56,Male,High school graduate or equivalent (GED),$50k - $100k,Employed full-time,Blue collar,Yes,Yes,No,7 - Extremely familiar,5 - Familiar,5 - Familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles)",,,1 - Not effective at all,Effective,Very Effective,Effective,1 - Not effective at all,Slightly effective,Slightly effective,Moderately effective,Moderately effective,Moderately effective,Moderately effective,Very Effective,Slightly frequent,Frequent,Frequent,Frequent,Moderately frequent,Slightly frequent,Very frequent,,,Prefer slightly,Prefer slightly,Prefer a moderate amount,Prefer a moderate amount,Prefer a moderate amount,Do not prefer
100,206,True,25-30,Male,Bachelor’s degree or equivalent,$101k - 150k,Employed full-time,White collar,Yes,No,No,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go",,,Extremely effective,Effective,7 - Most Effective,7 - Most Effective,Very Effective,Effective,Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Effective,Moderately frequent,Very frequent,1 - Not frequent at all,7 - Most frequent,Slightly frequent,1 - Not frequent at all,Slightly frequent,"LinkedIn,Facebook / Instagram,Google Search,YouTube",,Prefer a lot,Prefer a great deal,Do not prefer,Prefer slightly,Do not prefer,Prefer a great deal
100,182,True,31-40,Female,Bachelor’s degree or equivalent,$151k - $200k,Employed full-time,Blue collar,Yes,No,No,5 - Familiar,5 - Familiar,5 - Familiar,"Pokemon Go,Smartphone VR","Virtual Reality,Mixed Reality",,7 - Most Effective,Effective,Extremely effective,Effective,Extremely effective,Extremely effective,Slightly effective,Moderately effective,Effective,Very Effective,Effective,Very Effective,Extremely frequent,Extremely frequent,Slightly frequent,Extremely frequent,Frequent,Frequent,Frequent,"LinkedIn,Facebook / Instagram,Google Search,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a moderate amount,Prefer a lot,Prefer a lot,Prefer slightly,Do not prefer,Prefer slightly
100,152,True,41-56,Female,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,White collar,Yes,No,No,5 - Familiar,1- Not familiar at all,1- Not familiar at all,,,,1 - Not effective at all,1 - Not effective at all,Effective,Slightly effective,Very Effective,Very Effective,Very Effective,1 - Not effective at all,Slightly effective,1 - Not effective at all,1 - Not effective at all,Extremely effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Very frequent,Moderately frequent,1 - Not frequent at all,Very frequent,,,Prefer a great deal,Do not prefer,Prefer a lot,Do not prefer,Do not prefer,Do not prefer
100,144,True,25-30,Female,Bachelor’s degree or equivalent,< $50k,Employed part-time,Neither,No,No,Yes,6 - Very familiar,3 - Somewhat familiar,1- Not familiar at all,"Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go)",Virtual Reality,,Moderately effective,Effective,Extremely effective,Very Effective,7 - Most Effective,Very Effective,Extremely effective,Slightly effective,Effective,1 - Not effective at all,1 - Not effective at all,Extremely effective,1 - Not frequent at all,Moderately frequent,1 - Not frequent at all,Very frequent,1 - Not frequent at all,1 - Not frequent at all,Very frequent,"Facebook / Instagram,Google Search,Blog (e.g., Medium),Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a great deal,Prefer a great deal,Do not prefer,Prefer a lot,Do not prefer,Prefer a moderate amount
100,164,True,25-30,Female,Graduate degree or higher,$101k - 150k,Employed full-time,White collar,No,No,No,5 - Familiar,3 - Somewhat familiar,3 - Somewhat familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go",,,Moderately effective,Effective,Very Effective,Effective,Slightly effective,Moderately effective,Moderately effective,Slightly effective,Slightly effective,Moderately effective,Moderately effective,Effective,Slightly frequent,Moderately frequent,Slightly frequent,Very frequent,Moderately frequent,Slightly frequent,Slightly frequent,Google Search,,Prefer a moderate amount,Prefer slightly,Prefer slightly,Prefer slightly,Prefer a moderate amount,Prefer slightly
100,194,True,31-40,Male,High school graduate or equivalent (GED),< $50k,Employed full-time,Blue collar,Yes,No,No,5 - Familiar,4 - Moderately familiar,2 - Slightly familiar,"Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro)",,,1 - Not effective at all,1 - Not effective at all,Extremely effective,Extremely effective,Very Effective,1 - Not effective at all,7 - Most Effective,Slightly effective,1 - Not effective at all,Slightly effective,Slightly effective,Moderately effective,1 - Not frequent at all,Slightly frequent,1 - Not frequent at all,7 - Most frequent,Extremely frequent,1 - Not frequent at all,1 - Not frequent at all,Google Search,,Prefer slightly,Prefer a moderate amount,Prefer slightly,Prefer a lot,Prefer slightly,Prefer a great deal
100,144,True,31-40,Male,Associate degree or equivalent,$50k - $100k,Employed full-time,Blue collar,No,No,No,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles)",,,1 - Not effective at all,Slightly effective,Moderately effective,Moderately effective,Slightly effective,Moderately effective,Moderately effective,1 - Not effective at all,1 - Not effective at all,Slightly effective,Slightly effective,Moderately effective,1 - Not frequent at all,Slightly frequent,Slightly frequent,Moderately frequent,Slightly frequent,Moderately frequent,Slightly frequent,"Google Search,Blog (e.g., Medium)",,Prefer slightly,Prefer slightly,Do not prefer,Do not prefer,Do not prefer,Prefer slightly
100,261,True,31-40,Male,High school graduate or equivalent (GED),$50k - $100k,Self-Employed,Blue collar,No,No,Yes,6 - Very familiar,2 - Slightly familiar,2 - Slightly familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Smartphone VR",Virtual Reality,,Slightly effective,Very Effective,Extremely effective,Extremely effective,Effective,Effective,Slightly effective,Moderately effective,1 - Not effective at all,Slightly effective,Moderately effective,Moderately effective,1 - Not frequent at all,Very frequent,1 - Not frequent at all,7 - Most frequent,Extremely frequent,1 - Not frequent at all,1 - Not frequent at all,"Facebook / Instagram,Google Search,YouTube",,Prefer a lot,Prefer a lot,Do not prefer,Prefer a moderate amount,Prefer a moderate amount,Prefer a moderate amount
100,174,True,41-56,Female,Bachelor’s degree or equivalent,$151k - $200k,Employed full-time,White collar,Yes,No,No,3 - Somewhat familiar,3 - Somewhat familiar,1- Not familiar at all,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Smartphone VR",Augmented Reality,,Moderately effective,Slightly effective,Effective,Moderately effective,Effective,Effective,Slightly effective,1 - Not effective at all,Effective,Slightly effective,Moderately effective,Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,7 - Most frequent,Slightly frequent,Slightly frequent,Slightly frequent,"Google Search,YouTube,Blog (e.g., Medium),Press / Online Newspaper (e.g. TechCrunch, Forbes),Others",Trade publications,Prefer a moderate amount,Prefer a lot,Prefer a moderate amount,Prefer a lot,Prefer a lot,Do not prefer
100,217,True,25-30,Female,Bachelor’s degree or equivalent,$101k - 150k,Employed full-time,White collar,No,No,No,4 - Moderately familiar,2 - Slightly familiar,1- Not familiar at all,"Pokemon Go,Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go)",,,Effective,1 - Not effective at all,Moderately effective,Slightly effective,Slightly effective,Effective,Very Effective,Moderately effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Google Search,,Prefer slightly,Do not prefer,Do not prefer,Prefer slightly,Do not prefer,Do not prefer
100,250,True,41-56,Male,High school graduate or equivalent (GED),< $50k,Employed full-time,Neither,No,No,No,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,,,,1 - Not effective at all,1 - Not effective at all,Effective,Slightly effective,Effective,Slightly effective,Very Effective,Slightly effective,Slightly effective,Slightly effective,Slightly effective,Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Frequent,1 - Not frequent at all,1 - Not frequent at all,Slightly frequent,Google Search,,Prefer slightly,Prefer slightly,Do not prefer,Do not prefer,Do not prefer,Prefer a great deal
100,183,True,31-40,Male,Bachelor’s degree or equivalent,$101k - 150k,Employed full-time,White collar,Yes,No,No,2 - Slightly familiar,2 - Slightly familiar,2 - Slightly familiar,Pokemon Go,,,1 - Not effective at all,1 - Not effective at all,Slightly effective,Slightly effective,Effective,Slightly effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,Slightly frequent,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,"Google Search,YouTube",,Prefer slightly,Prefer slightly,Prefer slightly,Prefer a lot,Prefer a lot,Prefer a moderate amount
